PROF_MERGED_Wavelength (nm),PROF_MERGED_Reflectance (%)
1528,71.85
1532,72.4
1536,72.98
1540,73.92
1544,74.93
1548,76.06
1552,77.18
1556,77.99
1560,78.83
1564,79.73
1568,79.84
1572,79.73
1576,80.03
1580,80.47
1584,81.32
1588,82.34
1592,83.06
1596,83.94
1600,84.6
1604,85.03
1608,85.55
1612,86.35
1616,86.92
1620,86.99
1624,87.11
1628,87.42
1632,87.52
1636,87.54
1640,87.62
1644,87.77
1648,87.98
1652,87.87
1656,87.87
1660,88.15
1664,88.6
1668,89.21
1672,89.85
1676,90.66
1680,91.26
1684,91.75
1688,92.06
1692,92.25
1696,92.51
1700,93.03
1704,93.7
1708,94.41
1712,95.38
1716,96.4
1720,97
1724,97.03
1728,97.01
1732,97.24
1736,97.11
1740,96.68
1744,96.69
1748,96.94
1752,97.32
1756,97.45
1760,97.34
1764,98.04
1768,98.74
1772,99.19
1776,99.9
1780,100
1784,99.91
1788,99.92
1792,99.66
1796,99.34
1800,98.93
1804,98.64
1808,98.29
1812,97.9
1816,97.55
1820,97.61
1824,97.44
1828,97.09
1832,96.61
1836,96.21
1840,95.92
1844,95.79
1848,95.78
1852,95.93
1856,95.93
1860,95.59
1864,95.03
1868,94.6
1872,94.34
1876,93.6
1880,93.35
1884,93.19
1888,92.97
1892,92.35
1896,91.68
1900,91.19
1904,91.19
1908,91.31
1912,91.21
1916,90.72
1920,89.97
1924,89.2
1928,89.2
1932,89.34
1936,88.88
1940,87.81
1944,87.03
1948,87.08
1952,87.06
1956,86.72
1960,86.1
1964,85.5
1968,84.79
1972,84.06
1976,82.96
1980,81.8
1984,80.71
1988,79.19
1992,77.77
1996,76.38
2000,75.73
2004,75.12
2008,74.49
2012,74.74
2016,75.56
2020,76.49
2024,76.51
2028,76.16
2032,76.92
2036,77.98
2040,78.59
2044,78.83
2048,79.04
2052,79.26
2056,79.3
2060,79.45
2064,79.19
2068,78.54
2072,77.67
2076,76.75
2080,75.95
2084,74.97
2088,73.9
2092,72.67
2096,70.83
2100,68.5
2104,66.51
2108,64.78
2112,63.42
2116,61.97
2120,61.46
2124,61.15
2128,61.21
2132,61.42
2136,61.66
2140,61.41
2144,59.9
2148,58.52
2152,57.26
2156,55.97
2160,54.24
2164,52.31
2168,49.53
2172,46.21
2176,41.29
2180,35.1
2184,28.62
2188,22.36
2192,17.19
2196,13.53
2200,11.01
2204,9.32
2208,9.17
2212,10.94
2216,13.93
2220,17.94
2224,22.05
2228,25.43
2232,27.61
2236,28.72
2240,28.69
2244,28.64
2248,28.56
2252,28.08
2256,28.36
2260,29.21
2264,30.27
2268,31.88
2272,32.58
2276,33.3
2280,34.09
2284,34.26
2288,34.09
2292,33.22
2296,31.4
2300,28.75
2304,25.28
2308,21.91
2312,18.96
2316,16.53
2320,13.81
2324,12.07
2328,10.32
2332,8.49
2336,6.27
2340,4.09
2344,2.25
2348,1.76
2352,1.69
2356,2
2360,2.75
2364,3.93
2368,5.06
2372,5.64
2376,6.66
2380,7.79
2384,8.55
2388,8.44
2392,8.33
2396,8.14
2400,8.61
2404,8.46
2408,8.31
2412,7.38
2416,6.6
2420,5.77
2424,4.62
2428,3.44
2432,3.23
2436,3.19
2440,2.47
2444,1.18
2448,0.45
2452,0
2456,0.18
2460,0.91
2464,2.21
2468,2.97
2472,2.62
2476,2.47
2480,3.35
2484,4.42
2488,4.52
2492,4.03
2496,3.61
2500,4.39
